שם ישוב,סמל ישוב,בוחרים , מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
גפן,39,219.0,178.0,6.0,172.0,1.0,2.0,108.0,0.0,53.0
גרופית,1129,253.0,144.0,3.0,141.0,3.0,90.0,15.0,20.0,4.0
גשור,4022,102.0,68.0,1.0,67.0,0.0,40.0,8.0,10.0,2.0
גשר,305,424.0,284.0,3.0,281.0,0.0,218.0,27.0,22.0,1.0
גשר הזיו,574,442.0,278.0,6.0,272.0,1.0,186.0,33.0,39.0,1.0
גת )קיבוץ(,340,410.0,254.0,3.0,251.0,0.0,189.0,16.0,26.0,1.0
גת רימון,128,172.0,127.0,2.0,125.0,1.0,59.0,27.0,29.0,5.0
דאלית אל-כרמל,494,8750.0,4958.0,99.0,4859.0,268.0,2507.0,961.0,405.0,647.0
דבורה,146,214.0,140.0,1.0,139.0,0.0,61.0,55.0,14.0,4.0
דבוריה,489,4381.0,2737.0,38.0,2699.0,2178.0,253.0,32.0,2.0,92.0
דבירה,849,286.0,226.0,2.0,224.0,0.0,184.0,13.0,20.0,0.0
דברת,407,248.0,168.0,2.0,166.0,0.0,100.0,16.0,19.0,2.0
דגניה א',62,462.0,320.0,3.0,317.0,1.0,244.0,18.0,37.0,1.0
דגניה ב',79,438.0,313.0,2.0,311.0,0.0,233.0,27.0,37.0,4.0
"דוב""ב",1067,294.0,194.0,2.0,192.0,0.0,12.0,115.0,5.0,49.0
דולב,3747,369.0,308.0,1.0,307.0,0.0,1.0,267.0,1.0,8.0
דור,738,204.0,129.0,1.0,128.0,0.0,64.0,48.0,15.0,0.0
דורות,336,467.0,311.0,3.0,308.0,2.0,240.0,21.0,30.0,1.0
דחי,475,310.0,73.0,0.0,73.0,46.0,24.0,2.0,0.0,1.0
דייר אל-אסד,490,4873.0,3442.0,48.0,3394.0,2485.0,578.0,75.0,1.0,29.0
דייר חנא,492,4474.0,3247.0,29.0,3218.0,2643.0,391.0,65.0,2.0,13.0
דימונה,2200,25305.0,14012.0,380.0,13632.0,39.0,1564.0,7685.0,1301.0,2616.0
דישון,2063,283.0,182.0,1.0,181.0,0.0,22.0,120.0,4.0,28.0
דליה,300,664.0,492.0,5.0,487.0,0.0,434.0,6.0,20.0,2.0
דלתון,431,514.0,372.0,4.0,368.0,0.0,14.0,234.0,2.0,105.0
דמיידה,1317,149.0,91.0,1.0,90.0,58.0,7.0,7.0,0.0,0.0
דן,303,404.0,292.0,2.0,290.0,2.0,228.0,23.0,16.0,0.0
דפנה,302,531.0,391.0,5.0,386.0,4.0,290.0,40.0,35.0,0.0
דקל,1241,220.0,112.0,1.0,111.0,0.0,27.0,49.0,28.0,0.0
האון,702,155.0,86.0,0.0,86.0,1.0,49.0,17.0,15.0,1.0
הבונים,675,230.0,154.0,2.0,152.0,0.0,96.0,22.0,26.0,0.0
הגושרים,356,472.0,312.0,5.0,307.0,0.0,208.0,48.0,39.0,1.0
הדר עם,191,341.0,259.0,1.0,258.0,0.0,145.0,36.0,60.0,1.0
הוד השרון,9700,27595.0,20067.0,211.0,19856.0,35.0,6553.0,7173.0,4241.0,1232.0
הודיה,726,472.0,278.0,6.0,272.0,0.0,39.0,164.0,31.0,30.0
הוואשלה )שבט(,1169,977.0,693.0,9.0,684.0,524.0,123.0,7.0,4.0,7.0
הוזייל )שבט(,956,675.0,211.0,3.0,208.0,115.0,83.0,3.0,0.0,1.0
הושעיה,1186,561.0,449.0,1.0,448.0,0.0,32.0,373.0,17.0,19.0
הזורע,250,832.0,580.0,2.0,578.0,4.0,494.0,28.0,24.0,2.0
הזורעים,307,325.0,249.0,1.0,248.0,1.0,9.0,199.0,5.0,25.0
החותרים,434,443.0,302.0,2.0,300.0,0.0,238.0,15.0,28.0,3.0
היוגב,684,477.0,340.0,0.0,340.0,0.0,190.0,68.0,63.0,1.0
הילה,1208,251.0,195.0,3.0,192.0,0.0,129.0,24.0,22.0,1.0
המעפיל,377,406.0,305.0,4.0,301.0,1.0,249.0,8.0,31.0,1.0
הסוללים,677,431.0,318.0,5.0,313.0,5.0,175.0,59.0,58.0,4.0
העוגן,423,540.0,380.0,5.0,375.0,3.0,313.0,17.0,30.0,3.0
הר אדר,3769,1287.0,968.0,4.0,964.0,1.0,421.0,268.0,234.0,3.0
הר גילה,3603,250.0,189.0,2.0,187.0,1.0,51.0,86.0,32.0,3.0
הראל,464,140.0,59.0,0.0,59.0,3.0,43.0,6.0,3.0,2.0
הרדוף,1249,159.0,133.0,0.0,133.0,4.0,119.0,1.0,2.0,0.0
הרצליה,6400,71978.0,48159.0,563.0,47596.0,105.0,15561.0,17819.0,9682.0,2645.0
הררית,1203,173.0,117.0,3.0,114.0,0.0,56.0,21.0,17.0,0.0
ורד יריחו,3639,130.0,89.0,0.0,89.0,0.0,5.0,66.0,8.0,3.0
ורדון,1133,141.0,110.0,0.0,110.0,2.0,31.0,47.0,12.0,14.0
זבדיאל,815,303.0,241.0,5.0,236.0,0.0,24.0,118.0,1.0,88.0
זוהר,44,260.0,177.0,1.0,176.0,0.0,43.0,83.0,4.0,44.0
זיקים,584,346.0,189.0,0.0,189.0,0.0,159.0,8.0,18.0,0.0
זיתן,788,538.0,410.0,6.0,404.0,1.0,55.0,203.0,8.0,127.0
זכרון יעקב,9300,9265.0,6797.0,59.0,6738.0,10.0,2200.0,2208.0,1145.0,952.0
זכריה,799,428.0,349.0,1.0,348.0,0.0,29.0,244.0,9.0,59.0
זמר,1290,2765.0,1704.0,42.0,1662.0,1301.0,250.0,12.0,4.0,46.0
זמרת,1065,217.0,171.0,0.0,171.0,0.0,2.0,69.0,1.0,97.0
זנוח,816,285.0,208.0,1.0,207.0,1.0,17.0,112.0,2.0,68.0
זרועה,2064,172.0,123.0,2.0,121.0,1.0,6.0,70.0,2.0,42.0
זרזיר,975,2973.0,1302.0,56.0,1246.0,441.0,493.0,90.0,92.0,105.0
זרחיה,818,317.0,237.0,0.0,237.0,0.0,2.0,147.0,0.0,76.0
ח'ואלד,1321,162.0,72.0,3.0,69.0,53.0,10.0,0.0,4.0,1.0
ח'ואלד )שבט(,986,151.0,50.0,0.0,50.0,34.0,8.0,7.0,0.0,0.0
חבצלת השרון,235,361.0,260.0,1.0,259.0,1.0,90.0,85.0,48.0,18.0
חבר,1110,152.0,115.0,3.0,112.0,1.0,33.0,53.0,10.0,7.0
חברון,3400,240.0,201.0,0.0,201.0,0.0,0.0,80.0,0.0,5.0
חגור,717,433.0,318.0,1.0,317.0,1.0,91.0,136.0,64.0,14.0
חגי,3764,124.0,107.0,0.0,107.0,0.0,0.0,88.0,0.0,7.0
חגלה,205,282.0,235.0,2.0,233.0,0.0,142.0,36.0,41.0,0.0
חד-נס,4026,220.0,148.0,1.0,147.0,0.0,30.0,76.0,24.0,6.0
חדיד,618,393.0,312.0,2.0,310.0,0.0,44.0,198.0,13.0,42.0
חדרה,6500,58824.0,36458.0,686.0,35772.0,67.0,6782.0,18915.0,5800.0,3209.0
חולדה,160,273.0,181.0,3.0,178.0,0.0,121.0,27.0,25.0,3.0
חולון,6600,142677.0,88559.0,1559.0,87000.0,142.0,18818.0,40798.0,14958.0,10050.0
חולתה,253,361.0,258.0,2.0,256.0,0.0,205.0,12.0,25.0,4.0
חומש,3642,141.0,79.0,0.0,79.0,0.0,0.0,56.0,16.0,0.0
חוסן,662,379.0,276.0,0.0,276.0,0.0,30.0,185.0,23.0,31.0
חוסנייה,1332,250.0,158.0,5.0,153.0,74.0,9.0,51.0,0.0,17.0
חופית,115,698.0,503.0,0.0,503.0,0.0,318.0,80.0,82.0,5.0
חוקוק,374,255.0,149.0,1.0,148.0,1.0,106.0,16.0,15.0,2.0
חורה,1303,2497.0,1427.0,43.0,1384.0,1007.0,239.0,14.0,4.0,91.0
חורפיש,496,2845.0,1977.0,26.0,1951.0,101.0,903.0,641.0,12.0,276.0
חורשים,355,232.0,147.0,0.0,147.0,2.0,110.0,15.0,14.0,1.0
חזון,1047,283.0,202.0,2.0,200.0,1.0,7.0,142.0,0.0,43.0
חיבת ציון,219,327.0,245.0,1.0,244.0,1.0,85.0,100.0,39.0,7.0
חיננית,3643,327.0,262.0,1.0,261.0,0.0,4.0,171.0,76.0,3.0
חיפה,4000,233554.0,142450.0,2422.0,140028.0,6925.0,41626.0,52213.0,28174.0,7050.0
חלוץ,1272,217.0,146.0,2.0,144.0,0.0,74.0,28.0,32.0,0.0
חלמיש,3573,616.0,487.0,1.0,486.0,0.0,3.0,406.0,9.0,24.0
חלץ,820,373.0,256.0,5.0,251.0,0.0,43.0,139.0,4.0,61.0
חמאם,993,697.0,481.0,6.0,475.0,297.0,144.0,7.0,0.0,24.0
חמד,801,362.0,298.0,0.0,298.0,0.0,12.0,207.0,23.0,46.0
חמדיה,343,303.0,203.0,3.0,200.0,0.0,136.0,26.0,34.0,0.0
חמרה,3609,132.0,74.0,0.0,74.0,0.0,17.0,42.0,9.0,1.0
חניאל,807,501.0,350.0,3.0,347.0,2.0,177.0,83.0,69.0,0.0
חניתה,280,534.0,323.0,2.0,321.0,0.0,252.0,14.0,34.0,3.0
חספין,4005,476.0,390.0,0.0,390.0,0.0,0.0,354.0,1.0,12.0
חפץ חיים,363,242.0,200.0,0.0,200.0,0.0,2.0,142.0,1.0,39.0
חפצי-בה,90,376.0,269.0,1.0,268.0,1.0,200.0,18.0,32.0,0.0
חצב,700,611.0,422.0,9.0,413.0,1.0,93.0,248.0,32.0,29.0
חצבה,13,428.0,278.0,4.0,274.0,0.0,133.0,66.0,60.0,3.0
חצור הגלילית,2034,6116.0,4141.0,57.0,4084.0,7.0,516.0,2066.0,255.0,1123.0
חצור-אשדוד,406,560.0,395.0,1.0,394.0,1.0,342.0,11.0,23.0,0.0
חצרות יסף,1404,112.0,27.0,0.0,27.0,2.0,16.0,2.0,0.0,5.0
חצרים,397,701.0,528.0,4.0,524.0,0.0,414.0,45.0,50.0,0.0
חרב לאת,422,375.0,264.0,3.0,261.0,0.0,105.0,93.0,43.0,5.0
חרוצים,1024,527.0,395.0,4.0,391.0,0.0,105.0,183.0,42.0,45.0
חרות,162,610.0,495.0,3.0,492.0,6.0,312.0,63.0,93.0,3.0
חרמש,3717,156.0,79.0,1.0,78.0,0.0,7.0,51.0,13.0,3.0
חרשים,1209,95.0,74.0,1.0,73.0,2.0,63.0,1.0,4.0,0.0
חשמונאים,3770,1135.0,968.0,2.0,966.0,0.0,11.0,648.0,93.0,151.0
טבריה,6700,30682.0,17770.0,261.0,17509.0,35.0,1766.0,9413.0,1606.0,4123.0
טובא-זנגריה,962,2687.0,1344.0,49.0,1295.0,592.0,656.0,12.0,1.0,15.0
טורעאן,498,5690.0,3740.0,111.0,3629.0,3148.0,303.0,71.0,1.0,45.0
טייבה,2730,17718.0,11573.0,221.0,11352.0,8832.0,1445.0,125.0,71.0,387.0
טייבה )בעמק(,497,683.0,478.0,3.0,475.0,166.0,273.0,20.0,12.0,0.0
טירה,2720,11434.0,7215.0,127.0,7088.0,5965.0,730.0,28.0,48.0,102.0
טירת יהודה,663,450.0,355.0,5.0,350.0,0.0,7.0,281.0,5.0,51.0
טירת כרמל,2100,15005.0,9289.0,198.0,9091.0,19.0,1064.0,5909.0,706.0,1144.0
טירת צבי,268,492.0,371.0,5.0,366.0,0.0,52.0,285.0,15.0,1.0
טל שחר,462,475.0,349.0,3.0,346.0,3.0,167.0,97.0,58.0,2.0
טל-אל,1181,513.0,404.0,6.0,398.0,0.0,102.0,168.0,108.0,4.0
טלמון,3788,538.0,492.0,1.0,491.0,0.0,2.0,419.0,3.0,17.0
טמרה,8900,13860.0,10975.0,98.0,10877.0,8724.0,876.0,70.0,5.0,356.0
טמרה )יזרעאל(,547,646.0,243.0,6.0,237.0,195.0,13.0,7.0,1.0,0.0
טנא,3743,283.0,197.0,1.0,196.0,0.0,27.0,124.0,32.0,6.0
טפחות,1214,126.0,98.0,4.0,94.0,0.0,2.0,62.0,0.0,24.0
יאנוח-ג'ת,1295,2763.0,1776.0,36.0,1740.0,62.0,921.0,329.0,152.0,271.0
יבול,1232,128.0,89.0,1.0,88.0,0.0,34.0,34.0,17.0,0.0
יבנאל,46,1677.0,1234.0,15.0,1219.0,2.0,130.0,503.0,177.0,343.0
יבנה,2660,23109.0,15733.0,231.0,15502.0,28.0,3316.0,6957.0,2219.0,2532.0
יגור,96,1134.0,784.0,7.0,777.0,1.0,626.0,50.0,68.0,1.0
יגל,798,442.0,337.0,2.0,335.0,2.0,57.0,166.0,12.0,91.0
יד בנימין,577,79.0,72.0,0.0,72.0,0.0,0.0,43.0,0.0,27.0
יד חנה,758,117.0,79.0,0.0,79.0,6.0,38.0,17.0,6.0,0.0
יד מרדכי,358,619.0,450.0,7.0,443.0,1.0,348.0,47.0,23.0,10.0
יד נתן,775,285.0,188.0,1.0,187.0,0.0,81.0,46.0,48.0,0.0
"יד רמב""ם",64,554.0,408.0,4.0,404.0,1.0,29.0,278.0,17.0,63.0
יהוד,9400,16493.0,11762.0,156.0,11606.0,11.0,2769.0,5429.0,2070.0,971.0
יהל,1158,148.0,74.0,0.0,74.0,0.0,36.0,21.0,14.0,0.0
יובל,2009,295.0,203.0,1.0,202.0,0.0,60.0,101.0,20.0,14.0
יובלים,1226,665.0,523.0,1.0,522.0,3.0,348.0,51.0,94.0,1.0
יודפת,1112,237.0,173.0,2.0,171.0,0.0,119.0,14.0,16.0,4.0
יונתן,4007,169.0,135.0,0.0,135.0,0.0,6.0,117.0,3.0,4.0
יושיביה,803,194.0,153.0,0.0,153.0,0.0,3.0,47.0,0.0,100.0
יזרעאל,452,502.0,305.0,4.0,301.0,0.0,239.0,25.0,27.0,1.0
יחיעם,409,389.0,272.0,3.0,269.0,0.0,219.0,13.0,21.0,0.0
יטבתה,866,567.0,347.0,3.0,344.0,3.0,265.0,28.0,34.0,1.0
"ייט""ב",3607,83.0,67.0,4.0,63.0,0.0,6.0,38.0,14.0,0.0
יכיני,811,363.0,280.0,2.0,278.0,0.0,23.0,184.0,2.0,63.0
ינוב,753,453.0,315.0,4.0,311.0,0.0,62.0,172.0,39.0,24.0
ינון,2011,548.0,418.0,2.0,416.0,3.0,148.0,163.0,8.0,81.0
יסוד המעלה,29,821.0,592.0,5.0,587.0,0.0,206.0,267.0,78.0,8.0
יסודות,440,214.0,197.0,2.0,195.0,0.0,0.0,11.0,0.0,172.0
יסעור,575,287.0,175.0,5.0,170.0,0.0,139.0,10.0,18.0,1.0
יעד,1138,341.0,284.0,0.0,284.0,5.0,195.0,19.0,47.0,0.0
יערה,795,327.0,239.0,2.0,237.0,3.0,37.0,98.0,6.0,85.0
יפיע,499,8128.0,4668.0,125.0,4543.0,3720.0,493.0,141.0,4.0,112.0
יפית,3566,115.0,46.0,0.0,46.0,0.0,6.0,23.0,10.0,1.0
יפעת,134,610.0,433.0,3.0,430.0,0.0,332.0,33.0,41.0,6.0
יפתח,453,428.0,280.0,3.0,277.0,1.0,213.0,28.0,24.0,0.0
יצהר,3749,197.0,153.0,2.0,151.0,0.0,0.0,41.0,1.0,8.0
יציץ,759,392.0,288.0,3.0,285.0,0.0,17.0,216.0,11.0,32.0
יקום,417,446.0,352.0,2.0,350.0,0.0,311.0,7.0,22.0,0.0
יקיר,3647,513.0,430.0,2.0,428.0,1.0,4.0,353.0,7.0,27.0
יקנעם )מושבה(,241,796.0,592.0,3.0,589.0,0.0,308.0,116.0,135.0,5.0
יקנעם עילית,240,11982.0,8176.0,157.0,8019.0,5.0,1313.0,3971.0,1864.0,621.0
יראון,623,346.0,206.0,3.0,203.0,1.0,161.0,11.0,13.0,0.0
ירדנה,2026,272.0,180.0,5.0,175.0,0.0,40.0,95.0,4.0,34.0
ירוחם,831,5919.0,3728.0,85.0,3643.0,32.0,478.0,1852.0,263.0,935.0
ירושלים,3000,319892.0,213525.0,2578.0,210947.0,1678.0,31261.0,84579.0,19103.0,64974.0
ירחיב,718,443.0,322.0,8.0,314.0,0.0,36.0,220.0,14.0,38.0
ירכא,502,6436.0,4105.0,97.0,4008.0,664.0,1437.0,661.0,177.0,1052.0
ירקונה,183,180.0,139.0,0.0,139.0,2.0,77.0,32.0,23.0,0.0
ישע,916,163.0,106.0,1.0,105.0,0.0,41.0,47.0,12.0,2.0
ישעי,805,412.0,321.0,7.0,314.0,0.0,5.0,199.0,5.0,103.0
ישרש,828,443.0,351.0,9.0,342.0,0.0,57.0,222.0,38.0,18.0
יתד,1227,133.0,79.0,1.0,78.0,0.0,22.0,45.0,7.0,0.0
כאבול,504,4864.0,3714.0,42.0,3672.0,3297.0,48.0,37.0,0.0,40.0
כאוכב אבו אל-היג',505,1637.0,1344.0,12.0,1332.0,1273.0,27.0,21.0,0.0,0.0
כברי,576,718.0,516.0,2.0,514.0,0.0,435.0,23.0,37.0,3.0
כדים,3729,93.0,52.0,1.0,51.0,0.0,7.0,32.0,10.0,0.0
כוכב השחר,3564,528.0,460.0,2.0,458.0,0.0,0.0,338.0,10.0,13.0
כוכב יאיר,1224,3723.0,2822.0,12.0,2810.0,2.0,963.0,1120.0,580.0,36.0
כוכב יעקב,3779,1509.0,1246.0,15.0,1231.0,1.0,2.0,342.0,6.0,728.0
כוכב מיכאל,824,461.0,311.0,0.0,311.0,0.0,163.0,77.0,60.0,2.0
כורזים,1252,288.0,206.0,1.0,205.0,0.0,91.0,67.0,34.0,0.0
כחל,1210,213.0,158.0,0.0,158.0,0.0,68.0,33.0,44.0,6.0
כיסופים,840,239.0,131.0,1.0,130.0,0.0,111.0,12.0,1.0,1.0
כליל,1183,141.0,88.0,3.0,85.0,11.0,57.0,6.0,0.0,0.0
כלנית,1229,109.0,91.0,0.0,91.0,0.0,1.0,74.0,0.0,16.0
כמאנה,1331,470.0,370.0,12.0,358.0,86.0,36.0,59.0,0.0,106.0
כמון,1201,265.0,202.0,0.0,202.0,1.0,122.0,33.0,38.0,0.0
כנף,4028,125.0,104.0,5.0,99.0,0.0,21.0,49.0,23.0,0.0
כנרת )מושבה(,63,356.0,269.0,0.0,269.0,1.0,110.0,100.0,39.0,3.0
כנרת )קבוצה(,57,581.0,411.0,11.0,400.0,1.0,269.0,44.0,66.0,5.0
כסיפה,1059,3576.0,2258.0,77.0,2181.0,1436.0,423.0,135.0,105.0,37.0
כסלון,859,194.0,145.0,1.0,144.0,0.0,6.0,80.0,2.0,54.0
כסרא-סמיע,1296,3217.0,2006.0,18.0,1988.0,232.0,1011.0,449.0,16.0,171.0
כעביה-טבאש-חג'אג',978,1989.0,1212.0,42.0,1170.0,403.0,167.0,152.0,82.0,299.0
כפר אביב,857,416.0,306.0,3.0,303.0,0.0,122.0,91.0,69.0,7.0
כפר אדומים,3638,990.0,794.0,4.0,790.0,0.0,36.0,630.0,67.0,19.0
כפר אוריה,364,270.0,208.0,3.0,205.0,0.0,55.0,100.0,20.0,2.0
"כפר אז""ר",180,395.0,317.0,3.0,314.0,3.0,196.0,48.0,50.0,3.0
כפר אחים,690,316.0,214.0,0.0,214.0,1.0,87.0,81.0,36.0,3.0
כפר ביאליק,220,374.0,264.0,4.0,260.0,1.0,130.0,59.0,61.0,1.0
"כפר ביל""ו",177,653.0,493.0,2.0,491.0,0.0,291.0,82.0,103.0,2.0
כפר בלום,357,568.0,352.0,3.0,349.0,1.0,251.0,40.0,46.0,0.0
כפר בן נון,2010,269.0,194.0,3.0,191.0,0.0,69.0,71.0,41.0,3.0
כפר ברא,633,1090.0,756.0,8.0,748.0,600.0,137.0,10.0,0.0,0.0
כפר ברוך,132,201.0,149.0,1.0,148.0,0.0,68.0,48.0,18.0,3.0
כפר גדעון,106,128.0,95.0,0.0,95.0,0.0,0.0,24.0,9.0,49.0
כפר גלים,427,83.0,50.0,0.0,50.0,0.0,14.0,20.0,10.0,0.0
כפר גליקסון,310,271.0,201.0,1.0,200.0,1.0,144.0,19.0,28.0,0.0
כפר גלעדי,76,565.0,366.0,2.0,364.0,1.0,264.0,29.0,35.0,1.0
כפר דניאל,707,194.0,130.0,3.0,127.0,1.0,73.0,14.0,31.0,2.0
כפר דרום,5405,124.0,119.0,0.0,119.0,0.0,0.0,107.0,0.0,1.0
כפר החורש,192,352.0,272.0,2.0,270.0,0.0,204.0,20.0,40.0,0.0
כפר המכבי,254,267.0,177.0,1.0,176.0,0.0,131.0,14.0,24.0,1.0
כפר הנגיד,582,583.0,447.0,2.0,445.0,0.0,179.0,155.0,92.0,4.0
כפר הנוער הדתי,890,57.0,27.0,1.0,26.0,0.0,0.0,23.0,0.0,2.0
כפר הנשיא,443,556.0,307.0,3.0,304.0,1.0,239.0,19.0,34.0,3.0
כפר הס,187,695.0,556.0,4.0,552.0,0.0,357.0,67.0,103.0,0.0
"כפר הרא""ה",217,557.0,459.0,5.0,454.0,0.0,19.0,386.0,11.0,16.0
"כפר הרי""ף",888,358.0,268.0,5.0,263.0,0.0,84.0,101.0,68.0,1.0
כפר ויתקין,190,1046.0,801.0,4.0,797.0,5.0,490.0,86.0,170.0,5.0
כפר ורבורג,320,547.0,402.0,3.0,399.0,0.0,191.0,110.0,83.0,3.0
כפר ורדים,1263,3412.0,2536.0,20.0,2516.0,11.0,1236.0,527.0,624.0,27.0
כפר זיתים,786,318.0,221.0,4.0,217.0,2.0,17.0,145.0,0.0,46.0
"כפר חב""ד",696,2294.0,1556.0,9.0,1547.0,1.0,3.0,246.0,51.0,108.0
כפר חיטים,255,249.0,164.0,1.0,163.0,1.0,90.0,24.0,34.0,11.0
כפר חיים,193,369.0,286.0,2.0,284.0,0.0,169.0,42.0,58.0,2.0
כפר חנניה,1297,189.0,146.0,0.0,146.0,0.0,50.0,60.0,14.0,18.0
כפר חסידים א',112,436.0,327.0,0.0,327.0,0.0,60.0,174.0,58.0,29.0
כפר חסידים ב',889,119.0,91.0,1.0,90.0,0.0,12.0,61.0,14.0,3.0
כפר חרוב,4004,192.0,117.0,2.0,115.0,1.0,61.0,25.0,18.0,0.0
כפר טרומן,673,347.0,298.0,6.0,292.0,0.0,87.0,128.0,51.0,8.0
כפר יאסיף,507,5313.0,3873.0,59.0,3814.0,3204.0,393.0,57.0,3.0,10.0
כפר ידידיה,233,353.0,267.0,0.0,267.0,0.0,162.0,27.0,66.0,1.0
כפר יהושע,140,515.0,414.0,5.0,409.0,0.0,274.0,56.0,58.0,1.0
כפר יונה,168,7241.0,4998.0,78.0,4920.0,12.0,986.0,2470.0,798.0,493.0
כפר יחזקאל,85,432.0,335.0,0.0,335.0,0.0,212.0,62.0,46.0,0.0
כפר יעבץ,170,395.0,313.0,6.0,307.0,0.0,19.0,199.0,18.0,57.0
כפר כמא,508,1764.0,695.0,28.0,667.0,168.0,421.0,46.0,7.0,14.0
כפר כנא,509,8344.0,5683.0,136.0,5547.0,5030.0,291.0,58.0,13.0,73.0
כפר מונש,387,498.0,373.0,3.0,370.0,0.0,200.0,76.0,73.0,3.0
כפר מימון,1095,318.0,268.0,1.0,267.0,0.0,8.0,246.0,2.0,5.0
"כפר מל""ל",98,274.0,211.0,2.0,209.0,1.0,108.0,50.0,42.0,0.0
כפר מנדא,510,6577.0,4447.0,133.0,4314.0,2337.0,872.0,114.0,5.0,605.0
כפר מנחם,274,520.0,365.0,4.0,361.0,12.0,310.0,11.0,15.0,0.0
כפר מסריק,297,510.0,383.0,1.0,382.0,0.0,341.0,14.0,18.0,1.0
כפר מצר,512,1053.0,518.0,24.0,494.0,216.0,187.0,2.0,4.0,55.0
כפר מרדכי,764,329.0,256.0,2.0,254.0,0.0,159.0,42.0,52.0,0.0
כפר נטר,316,403.0,306.0,3.0,303.0,1.0,141.0,69.0,77.0,2.0
כפר סאלד,345,427.0,311.0,2.0,309.0,0.0,230.0,11.0,36.0,0.0
כפר סבא,6900,62434.0,44320.0,633.0,43687.0,95.0,14093.0,16974.0,8788.0,2368.0
כפר סילבר,107,99.0,61.0,0.0,61.0,0.0,29.0,20.0,10.0,1.0
כפר סירקין,249,696.0,531.0,3.0,528.0,0.0,244.0,139.0,116.0,8.0
כפר עזה,845,499.0,366.0,1.0,365.0,1.0,278.0,25.0,25.0,2.0
כפר עציון,3488,322.0,226.0,0.0,226.0,1.0,19.0,176.0,8.0,5.0
כפר פינס,189,300.0,249.0,0.0,249.0,0.0,5.0,222.0,7.0,5.0
כפר קאסם,634,8148.0,6422.0,82.0,6340.0,4304.0,1646.0,12.0,15.0,83.0
כפר קיש,388,229.0,136.0,0.0,136.0,0.0,62.0,28.0,36.0,5.0
כפר קרע,654,7653.0,5132.0,97.0,5035.0,3638.0,895.0,98.0,29.0,90.0
כפר ראש הנקרה,579,491.0,355.0,5.0,350.0,1.0,251.0,50.0,33.0,0.0
כפר רוזנואלד )זרע,1130,188.0,109.0,0.0,109.0,0.0,30.0,56.0,3.0,16.0
כפר רופין,295,369.0,242.0,3.0,239.0,1.0,174.0,21.0,36.0,0.0
כפר רות,1166,165.0,108.0,0.0,108.0,0.0,35.0,43.0,16.0,6.0
כפר שמאי,605,198.0,141.0,0.0,141.0,0.0,5.0,88.0,8.0,39.0
כפר שמואל,743,370.0,288.0,6.0,282.0,0.0,120.0,88.0,60.0,8.0
כפר שמריהו,267,1520.0,1000.0,10.0,990.0,4.0,503.0,232.0,224.0,4.0
כפר תבור,47,1697.0,1181.0,10.0,1171.0,2.0,465.0,406.0,241.0,6.0
כפר תפוח,3572,276.0,210.0,1.0,209.0,0.0,0.0,108.0,1.0,25.0
כרכום,1285,333.0,248.0,1.0,247.0,0.0,105.0,71.0,48.0,12.0
כרם בן זמרה,664,296.0,213.0,4.0,209.0,0.0,19.0,148.0,11.0,30.0
כרם יבנה )ישיבה(,1094,213.0,173.0,0.0,173.0,0.0,0.0,126.0,0.0,41.0
"כרם מהר""ל",580,314.0,221.0,2.0,219.0,1.0,108.0,60.0,33.0,3.0
כרמי יוסף,1264,1289.0,981.0,16.0,965.0,1.0,441.0,246.0,232.0,7.0
כרמי צור,3766,215.0,192.0,1.0,191.0,0.0,1.0,171.0,0.0,9.0
כרמיאל,1139,35440.0,21844.0,582.0,21262.0,69.0,4035.0,9956.0,5515.0,1041.0
כרמיה,768,253.0,166.0,3.0,163.0,0.0,119.0,26.0,9.0,1.0
כרמל,3656,166.0,144.0,0.0,144.0,0.0,0.0,128.0,1.0,5.0
לביא,585,478.0,370.0,2.0,368.0,0.0,22.0,313.0,16.0,10.0
לבנים,1230,227.0,150.0,3.0,147.0,0.0,33.0,66.0,31.0,10.0
להב,2023,469.0,375.0,3.0,372.0,1.0,226.0,108.0,17.0,5.0
להבות הבשן,380,371.0,259.0,6.0,253.0,0.0,206.0,20.0,17.0,1.0
להבות חביבה,715,263.0,177.0,1.0,176.0,0.0,143.0,11.0,14.0,1.0
להבים,1271,3324.0,2514.0,11.0,2503.0,6.0,1029.0,791.0,580.0,38.0
לוד,7000,49355.0,29442.0,829.0,28613.0,3243.0,3759.0,13350.0,3960.0,2903.0
לוזית,52,224.0,157.0,2.0,155.0,1.0,29.0,33.0,1.0,89.0
לוחמי הגיטאות,595,393.0,306.0,2.0,304.0,1.0,244.0,18.0,33.0,2.0
לוטם,1171,189.0,132.0,2.0,130.0,1.0,83.0,18.0,16.0,2.0
לוטן,1255,120.0,64.0,0.0,64.0,0.0,47.0,3.0,4.0,0.0
לימן,674,393.0,284.0,3.0,281.0,0.0,81.0,124.0,61.0,6.0
לכיש,24,359.0,293.0,3.0,290.0,0.0,194.0,32.0,55.0,2.0
לפיד,1310,1120.0,849.0,5.0,844.0,2.0,289.0,300.0,200.0,26.0
לפידות,1173,104.0,70.0,1.0,69.0,0.0,24.0,34.0,1.0,8.0
לקיה,1060,2751.0,1545.0,50.0,1495.0,1262.0,109.0,9.0,5.0,28.0
מאור,2055,425.0,298.0,0.0,298.0,0.0,74.0,159.0,32.0,19.0
